2025-04-21 22:39:50 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.5.Final
2025-04-21 22:39:50 [main] INFO  c.c.f.h.c.CategoryControllerTest - Starting CategoryControllerTest using Java 17.0.15 on DESKTOP-DU98LMI with PID 12488 (started by Administrator in E:\household)
2025-04-21 22:39:50 [main] INFO  c.c.f.h.c.CategoryControllerTest - The following 1 profile is active: "local"
2025-04-21 22:39:52 [main] WARN  o.s.b.a.s.s.UserDetailsServiceAutoConfiguration - 

Using generated security password: a60a8eb7-4454-4507-97e3-b734a1d70336

This generated password is for development use only. Your security configuration must be updated before running your application in production.

2025-04-21 22:39:52 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@4349f52c, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@2522bea6, org.springframework.security.web.context.SecurityContextPersistenceFilter@1380a19b, org.springframework.security.web.header.HeaderWriterFilter@77ec911, org.springframework.security.web.csrf.CsrfFilter@344ab465, org.springframework.security.web.authentication.logout.LogoutFilter@16be2c40, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@738ce295, org.springframework.security.web.authentication.ui.DefaultLoginPageGeneratingFilter@75b994f7, org.springframework.security.web.authentication.ui.DefaultLogoutPageGeneratingFilter@e60c516, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@3bca62d, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@2bfe9344, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@3de473d9, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@7db4c883, org.springframework.security.web.session.SessionManagementFilter@369773fd, org.springframework.security.web.access.ExceptionTranslationFilter@7ce87f9d, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@58b2c0b4]
2025-04-21 22:39:52 [main] INFO  o.s.b.t.m.w.SpringBootMockServletContext - Initializing Spring TestDispatcherServlet ''
2025-04-21 22:39:52 [main] INFO  o.s.t.w.s.TestDispatcherServlet - Initializing Servlet ''
2025-04-21 22:39:52 [main] INFO  o.s.t.w.s.TestDispatcherServlet - Completed initialization in 1 ms
2025-04-21 22:39:52 [main] INFO  c.c.f.h.c.CategoryControllerTest - Started CategoryControllerTest in 2.357 seconds (JVM running for 3.61)
2025-04-21 22:39:52 [main] INFO  o.s.b.t.m.w.SpringBootMockServletContext - Initializing Spring TestDispatcherServlet ''
2025-04-21 22:39:52 [main] INFO  o.s.t.w.s.TestDispatcherServlet - Initializing Servlet ''
2025-04-21 22:39:52 [main] INFO  o.s.t.w.s.TestDispatcherServlet - Completed initialization in 0 ms
2025-04-21 22:39:52 [main] INFO  o.s.b.t.m.w.SpringBootMockServletContext - Initializing Spring TestDispatcherServlet ''
